"Month","Crossing","Traffic_Signal","Junction","Amenity","Stop","Station","Railway","Give_Way","No_Exit","Traffic_Calming","Bump"
"Jan",1725,1581,1544,506,430,356,174,129,71,40,10
"Feb",1731,1635,1564,507,458,400,161,99,63,67,15
"Mar",1539,1445,1315,486,391,337,182,108,46,41,9
"Apr",1926,1730,1694,652,491,451,212,156,82,43,19
"May",2886,2579,1882,1091,679,773,344,247,98,83,22
"Jun",2489,2269,1811,748,609,533,301,181,89,85,22
"Jul",2247,2048,1553,670,560,419,216,160,63,76,21
"Aug",2347,2057,1599,692,540,487,248,148,81,58,8
"Sep",2467,2297,1921,795,653,562,282,187,67,56,11
"Oct",2439,2259,1788,725,598,559,271,150,78,37,11
"Nov",1995,1906,1489,654,481,485,261,109,94,63,14
"Dec",1928,1780,1590,561,466,448,227,139,73,33,11
