"","GEOID","count","area","density"
"1","36061000100",0,1842974.24760437,0
"2","36061000201",54,972312.140350342,5.55377206136116e-05
"3","36061000600",60,2582705.1574707,2.32314555250121e-05
"4","36061001401",1,1006116.58430481,9.93920600852598e-07
"5","36061001402",59,1226206.24717712,4.81158859986445e-05
"6","36061001800",48,2399276.86434937,2.00060279466816e-05
"7","36061002201",5,1740173.87580872,2.87327609585929e-06
"8","36061002601",1,1141217.52723694,8.76257134274086e-07
"9","36061002602",1,1114857.1178894,8.96975929878043e-07
"10","36061002800",4,1973678.46789551,2.02667256347236e-06
"11","36061003100",19,2207029.51989746,8.60885630604649e-06
"12","36061003200",4,2335526.62182617,1.71267583191681e-06
"13","36061003300",68,3677727.64355469,1.8489678026912e-05
"14","36061003400",1,1718451.58586121,5.81919216245388e-07
"15","36061003601",11,1082296.16557312,1.0163576615995e-05
"16","36061003602",16,961070.500030518,1.66481022978979e-05
"17","36061003700",221,4116364.29740906,5.36881539224074e-05
"18","36061003900",32,3571006.25662231,8.96105962868508e-06
"19","36061004001",3,995026.137268066,3.01499617712231e-06
"20","36061004002",1,932610.986206055,1.0722584387174e-06
"21","36061004100",26,2058611.77687073,1.26298704263328e-05
"22","36061004300",14,1605585.00790405,8.71956323152006e-06
"23","36061004500",16,1129524.33978271,1.4165254732871e-05
"24","36061005200",6,1815452.33377075,3.30496146243499e-06
"25","36061005400",9,1809255.65826416,4.97442136432769e-06
"26","36061005501",3,1338496.76800537,2.24132031672411e-06
"27","36061005502",9,1243017.22801208,7.24044671077764e-06
"28","36061005800",7,1879679.38879395,3.72403934507755e-06
"29","36061006300",6,1918265.4776001,3.12782566858601e-06
"30","36061006500",1,2167367.11549377,4.61389301725278e-07
"31","36061006700",10,1812883.02276611,5.51607570616549e-06
"32","36061006800",8,1877720.93515015,4.26048399964199e-06
"33","36061007001",4,967528.063613892,4.13424700577602e-06
"34","36061007002",8,941181.266357422,8.49995668843023e-06
"35","36061007100",6,1774264.34210205,3.38168324619066e-06
"36","36061007200",12,1877428.79586792,6.3917204351031e-06
"37","36061007300",3,1778587.9743042,1.6867312965914e-06
"38","36061007600",31,1873518.14596558,1.65464103279465e-05
"39","36061007700",5,1924995.85467529,2.59740819070148e-06
"40","36061007800",109,1912109.8972168,5.70050916836195e-05
"41","36061008000",18,1855976.6985321,9.69839762225263e-06
"42","36061008100",9,1875912.498703,4.79766513961742e-06
"43","36061008200",6,1856719.4201355,3.23150602882267e-06
"44","36061008300",4,1873011.55557251,2.13559814305435e-06
"45","36061008400",21,1862741.798172,1.12737041819797e-05
"46","36061008700",7,1780834.06536865,3.93074241790794e-06
"47","36061008900",2,1782674.05104065,1.12191008717072e-06
"48","36061009100",5,1927040.1260376,2.59465276952019e-06
"49","36061009200",20,2118430.84365845,9.44095015415314e-06
"50","36061009300",4,1929422.57463074,2.07315911640846e-06
"51","36061009400",8,1646379.21087646,4.85914784829016e-06
"52","36061009500",12,1851171.24879456,6.48238244182656e-06
"53","36061009600",19,1887288.38569641,1.00673538522249e-05
"54","36061009700",4,1860581.0940094,2.14986598158983e-06
"55","36061009902",34,2006894.84251404,1.69415951846327e-05
